代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
000705,浙江震元,7.040,19.9,刚启动(拉升初期),12.64,81.41,0.0057,0.1157,1.0446,0.9444,1.0
003023,彩虹集团,27.550,29.0,刚启动(拉升初期),18.93,80.05,0.0804,0.4639,1.138,0.9143,1.0
300096,ST易联众,9.610,41.3,刚启动(拉升初期),9.19,79.53,0.1097,0.1923,1.1291,0.9188,1.0
300192,科德教育,15.960,72.7,刚启动(拉升初期),18.41,79.23,-0.0511,0.5142,1.2856,0.9398,1.0
002873,新天药业,8.440,20.2,刚启动(拉升初期),12.49,78.73,-0.031,0.1238,1.1799,0.9217,1.0
000887,中鼎股份,22.410,294.6,刚启动(拉升初期),8.85,78.41,0.0586,0.3459,1.2139,0.9071,1.0
600768,富邦新材,15.210,20.3,刚启动(拉升初期),12.34,78.08,-0.0663,0.1593,1.1984,0.9085,1.0
603959,ST百利,5.080,24.9,刚启动(拉升初期),26.89,77.95,0.1705,0.2482,1.2243,0.9066,1.0
600721,百花医药,13.250,51.0,刚启动(拉升初期),32.34,77.9,0.8151,0.8929,1.282,0.883,1.0
603880,南卫股份,8.700,25.1,刚启动(拉升初期),12.84,77.62,0.0571,0.3744,1.201,0.8809,1.0
603709,中源家居,11.860,19.3,刚启动(拉升初期),17.38,77.36,-0.2656,0.192,1.1701,0.8784,1.0
300072,海新能科,3.810,88.8,刚启动(拉升初期),12.62,77.25,0.0,0.1173,1.2773,0.9178,1.0
301116,益客食品,9.330,41.9,刚启动(拉升初期),18.55,77.17,-0.0179,0.135,1.2669,0.9107,1.0
600444,国机通用,14.170,20.7,刚启动(拉升初期),15.36,77.16,-0.0622,0.1418,1.2153,0.8927,1.0
603439,三力制药,12.410,50.1,刚启动(拉升初期),7.53,76.98,-0.2377,0.2398,1.3266,0.9172,1.0
600467,好当家,2.340,34.2,刚启动(拉升初期),15.72,76.96,0.0263,0.1038,1.0654,0.9161,0.7
002986,宇新股份,13.300,40.1,刚启动(拉升初期),26.53,76.13,0.1252,0.1338,0.9637,0.9337,0.4
603655,朗博科技,33.160,35.1,刚启动(拉升初期),15.29,75.94,-0.0786,0.336,1.375,0.8997,1.0
603922,ST金鸿顺,13.780,24.7,刚启动(拉升初期),8.06,75.79,-0.1295,0.3739,1.3677,0.8907,1.0
000838,*ST发展,2.810,29.6,刚启动(拉升初期),36.59,75.67,0.6149,0.2379,1.3404,0.8892,1.0
000985,大庆华科,16.430,21.3,刚启动(拉升初期),15.46,75.44,-0.0381,0.1761,0.9686,0.9147,0.4
301507,民生健康,12.880,14.2,刚启动(拉升初期),12.62,75.37,0.0008,0.0888,1.3987,0.9138,1.0
600162,香江控股,4.180,136.6,刚启动(拉升初期),9.76,75.28,0.4982,0.4929,1.2236,0.8968,0.7
603332,苏州龙杰,11.610,25.1,刚启动(拉升初期),12.51,75.14,-0.0268,0.136,1.2598,0.8576,1.0
600261,阳光照明,3.240,43.3,刚启动(拉升初期),8.57,74.91,-0.0122,0.0983,1.2259,0.8439,1.0
