代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
002857,三晖电气,19.300,24.8,刚启动(拉升初期),8.48,86.25,-0.0332,0.3228,0.7915,0.9639,1.0
300535,达威股份,16.640,13.5,刚启动(拉升初期),15.66,82.63,0.0094,0.3022,0.9509,0.9282,1.0
603880,南卫股份,8.730,25.2,刚启动(拉升初期),12.86,82.31,0.0632,0.3801,1.0391,0.9437,1.0
300787,海能实业,10.010,19.7,刚启动(拉升初期),12.62,81.27,0.0,0.2833,1.117,0.9509,1.0
002551,尚荣医疗,3.270,20.0,刚启动(拉升初期),20.2,80.81,0.0219,0.1354,1.068,0.9354,1.0
002088,鲁阳节能,8.280,41.9,刚启动(拉升初期),15.41,80.69,-0.0517,0.1783,1.1039,0.9407,1.0
603922,ST金鸿顺,13.800,24.7,刚启动(拉升初期),8.18,79.98,-0.1031,0.3865,1.1693,0.9285,1.0
002486,嘉麟杰,2.540,20.8,刚启动(拉升初期),8.57,79.57,-0.0109,0.1396,1.1588,0.9343,1.0
002357,富临运业,10.990,34.5,刚启动(拉升初期),12.78,79.33,0.0418,0.3217,1.2412,0.941,1.0
300855,图南股份,34.810,102.0,刚启动(拉升初期),12.47,78.99,-0.0358,0.3135,1.1871,0.9152,1.0
300096,ST易联众,9.600,41.3,刚启动(拉升初期),8.86,78.91,0.0633,0.1933,1.1544,0.9118,1.0
000698,ST沈化,3.550,27.9,刚启动(拉升初期),8.71,78.71,0.0142,0.1125,1.0922,0.8932,1.0
688143,长盈通,152.290,186.4,刚启动(拉升初期),18.71,78.52,0.0221,0.6742,1.2544,0.9016,1.0
003023,彩虹集团,27.400,28.8,刚启动(拉升初期),18.8,78.43,0.0474,0.4008,1.1711,0.8893,1.0
600768,富邦新材,15.140,20.2,刚启动(拉升初期),12.34,78.08,-0.0663,0.1593,1.1984,0.9085,1.0
002849,威星智能,18.270,40.0,刚启动(拉升初期),8.95,78.07,0.0867,0.3456,1.1814,0.8878,1.0
300240,飞力达,6.030,21.9,刚启动(拉升初期),12.53,78.06,-0.0211,0.1663,1.1206,0.8817,1.0
603959,ST百利,5.130,25.2,刚启动(拉升初期),27.74,78.02,0.1272,0.2297,1.1657,0.8904,1.0
600721,百花医药,13.690,52.6,刚启动(拉升初期),32.34,77.9,0.8151,0.8929,1.282,0.883,1.0
